,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
258,small,large,large,large,small,small,small,small,large,small,small,small,small,small,small,small
259,small,large,large,large,small,small,large,large,large,small,small,small,small,large,small,small
260,small,large,large,large,small,small,large,large,large,small,small,large,large,large,small,small
261,small,small,small,small,small,small,large,large,large,small,small,large,large,large,small,small
262,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
263,small,medium,large,medium,small,small,small,small,small,small,small,small,small,small,small,small
264,small,small,small,small,small,small,medium,large,medium,small,small,small,small,small,small,small
265,small,small,small,small,small,small,small,small,small,small,small,medium,large,medium,small,small
266,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
267,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
268,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
269,small,small,small,small,small,small,large,large,large,small,small,small,small,small,small,small
270,small,small,small,small,small,small,small,small,small,small,small,large,large,large,small,small
271,small,large,large,large,small,small,small,small,small,small,small,small,small,small,small,small
272,medium,large,large,large,small,medium,large,large,large,small,small,small,small,small,small,small
273,large,large,large,large,medium,medium,large,large,large,small,medium,large,large,large,small,small
274,large,small,small,small,large,large,small,small,small,large,large,small,small,small,large,large
275,large,large,large,medium,large,large,small,small,small,large,large,small,small,small,large,large
276,large,large,large,large,large,large,large,large,medium,large,large,small,small,small,large,large
277,large,large,large,large,large,large,large,large,large,large,large,large,large,medium,large,large
278,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large
279,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large
280,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large,large
281,large,small,large,small,large,large,large,large,large,large,large,large,large,large,large,large
282,large,small,small,small,large,large,small,large,small,large,large,large,large,large,large,large
283,large,large,medium,medium,large,large,small,small,small,large,large,small,large,small,large,large
